Date,Open,High,Low,Close ,Adj Close ,Volume
"Jun 6, 2016",0.0925 Dividend ,,,,,
"Jun 1, 2016",7.26,7.33,6.3,6.64,5.19,"218,932,400"
"May 1, 2016",8.2,8.22,6.88,7.28,5.68,"280,284,800"
"Apr 1, 2016",7.93,8.43,7.25,8.2,6.4,"267,830,000"
"Mar 4, 2016",0.0925 Dividend ,,,,,
"Mar 1, 2016",7.76,8.24,7.1,7.93,6.12,"265,259,600"
"Feb 1, 2016",6.55,7.77,6.19,7.7,5.95,"160,745,200"
"Jan 1, 2016",6.76,7.39,6.08,6.55,5.06,"230,986,800"
"Dec 1, 2015",0.09 Dividend ,,,,,
"Dec 1, 2015",8.76,8.79,6.97,7.01,5.35,"257,916,800"
"Nov 1, 2015",11.51,11.87,8.25,8.76,6.69,"255,981,200"
"Oct 1, 2015",10.32,11.9,9.95,11.52,8.8,"109,858,800"
"Sep 4, 2015",0.09 Dividend ,,,,,
"Sep 1, 2015",10.38,11.11,9.91,10.3,7.8,"139,757,600"
"Aug 1, 2015",11.49,11.96,9.66,10.62,8.04,"184,884,000"
"Jul 1, 2015",10.81,11.94,10.74,11.46,8.68,"144,605,600"
"Jun 8, 2015",0.09 Dividend ,,,,,
"Jun 1, 2015",10.94,11.38,10.49,10.74,8.07,"163,515,600"
"May 1, 2015",9.66,11.12,9.61,10.85,8.15,"136,741,600"
"Apr 1, 2015",9.47,10.32,9.33,9.64,7.24,"118,883,600"
"Mar 13, 2015",0.09 Dividend ,,,,,
"Mar 1, 2015",9.24,10.67,9.24,9.49,7.06,"176,574,400"
"Feb 1, 2015",8.78,9.55,8.63,9.24,6.88,"108,543,200"
"Jan 1, 2015",8.52,9.82,7.92,8.81,6.56,"284,271,600"
"Dec 1, 2014",9.4,9.42,7.95,8.45,6.29,"356,487,200"
"Nov 21, 2014",0.0825 Dividend ,,,,,
"Nov 1, 2014",10.69,11.21,9.22,9.45,6.98,"294,953,200"
"Oct 1, 2014",10.28,10.97,8.95,10.69,7.9,"238,340,800"
"Sep 1, 2014",10.57,11.36,10.3,10.3,7.61,"170,705,600"
"Aug 29, 2014",0.0825 Dividend ,,,,,
"Aug 1, 2014",10.5,11.13,9.85,10.55,7.73,"215,040,800"
"Jul 1, 2014",10.13,11.65,10.07,10.49,7.69,"251,918,400"
"Jun 2, 2014",0.0825 Dividend ,,,,,
"Jun 1, 2014",9.42,10.25,8.97,10.12,7.35,"197,148,400"
"May 1, 2014",9.97,10.12,8.77,9.46,6.88,"245,402,000"
"Apr 1, 2014",10.26,11.37,9.74,9.92,7.21,"283,416,800"
"Mar 13, 2014",0.0825 Dividend ,,,,,
"Mar 1, 2014",9.26,10.39,8.82,10.27,7.4,"316,240,800"
"Feb 1, 2014",8.74,9.75,8.27,9.33,6.72,"292,960,400"
"Jan 1, 2014",12.29,12.5,8.68,8.77,6.32,"516,601,600"
"Dec 2, 2013",0.06875 Dividend ,,,,,
"Dec 1, 2013",12.13,12.89,11.22,12.31,8.82,"277,885,200"
"Nov 1, 2013",13.77,14.44,11.66,12.06,8.64,"272,100,000"
"Oct 1, 2013",12.4,14,11.93,13.7,9.82,"151,379,200"
"Sep 1, 2013",12.69,13.32,12.16,12.41,8.89,"144,700,400"
"Aug 29, 2013",0.06875 Dividend ,,,,,
"Aug 1, 2013",12.38,14.02,11.76,12.55,8.94,"232,609,600"
"Jul 1, 2013",10.5,12.38,10.41,12.27,8.74,"182,108,800"
"Jun 1, 2013",8.3,10.71,8.29,10.51,7.48,"357,972,000"
"May 31, 2013",0.06875 Dividend ,,,,,
"May 1, 2013",8.74,9.97,7.74,8.29,5.86,"355,194,400"
"Apr 1, 2013",7,8.85,6.98,8.73,6.16,"310,882,800"
"Mar 1, 2013",0.06875 Dividend ,,,,,
"Mar 1, 2013",6.16,7.17,5.84,6.99,4.89,"203,120,400"
"Feb 1, 2013",6.07,6.75,5.86,6.26,4.38,"267,249,200"
"Jan 1, 2013",6.39,6.47,5.57,5.8,4.05,"325,448,800"
"Dec 1, 2012",6.61,7.09,5.98,6.27,4.38,"220,685,600"
"Nov 26, 2012",0.0625 Dividend ,,,,,
"Nov 1, 2012",5.71,7,5.35,6.56,4.54,"312,088,400"
"Oct 1, 2012",5.36,6.12,5.26,5.71,3.95,"223,167,200"
"Sep 1, 2012",4.96,5.95,4.96,5.25,3.63,"253,480,000"
"Aug 24, 2012",0.0625 Dividend ,,,,,
"Aug 1, 2012",4.01,4.9,3.83,4.77,3.26,"387,012,400"
"Jul 1, 2012",4.61,4.67,3.87,4.01,2.74,"185,138,000"
"Jun 1, 2012",4.69,4.95,4.28,4.59,3.14,"299,375,200"
"May 24, 2012",0.0375 Dividend ,,,,,
"May 1, 2012",5.69,5.77,4.53,4.8,3.25,"354,563,600"
"Apr 1, 2012",5.43,5.7,5.24,5.69,3.86,"247,266,800"
"Mar 1, 2012",5.72,6.44,5.45,5.46,3.7,"362,596,400"
"Feb 16, 2012",0.0375 Dividend ,,,,,
"Feb 1, 2012",5.86,6.47,5.64,5.7,3.83,"283,491,200"
"Jan 1, 2012",6.11,6.32,5.66,5.84,3.93,"280,009,600"
"Dec 1, 2011",5.78,6.19,5.66,6.03,4.06,"204,837,200"
